id,name
1, Action
2,Action
3,War
4, Science Fiction
5, Horror
6, Mystery
7, Fantasy
8, Thriller
9,Thriller
10, Adventure
11, Drama
12,Romance
13,Science Fiction
14, Family
15,Horror
16,Animation
17, Crime
18, Comedy
