id,movie_id,genre_id
1,1022789,16
2,1022789,14
3,1022789,11
4,1022789,10
5,1022789,18
6,653346,13
7,653346,10
8,653346,1
9,573435,2
10,573435,17
11,573435,8
12,573435,18
13,1001311,9
14,1001311,5
15,1001311,1
16,1001311,6
17,823464,13
18,823464,1
19,823464,10
20,955555,2
21,955555,17
22,955555,18
23,955555,8
24,929590,3
25,929590,1
26,929590,11
27,626412,13
28,626412,1
29,626412,7
30,626412,10
31,150540,16
32,150540,14
33,150540,10
34,150540,11
35,150540,18
36,974635,12
37,974635,18
38,974635,17
39,719221,15
40,719221,8
41,614933,13
42,614933,1
43,746036,2
44,746036,18
45,38700,9
46,38700,1
47,38700,17
48,1025463,13
49,1025463,1
50,1025463,10
51,1011985,16
52,1011985,1
53,1011985,14
54,1011985,18
55,1011985,7
56,786892,2
57,786892,10
58,786892,4
59,1263421,16
60,1263421,1
61,1136318,3
62,437342,15
